"symbol","title","description","url","published_at","source","category","time","diff"
"AAPL","Apple Announces 'M5' Chip for New MacBook Pro Line","Apple (AAPL) unveiled its new M5 chip, promising a 30% performance boost in CPU and graphics tasks, with new MacBook Pro models shipping next month.","https://www.theverge.com/2025/10/28/apple-m5-chip-macbook-pro","2025-10-28T12:12:00.000000Z","theverge.com","general","1761656115828","1"
"GOOGL","Google AI Search Update Faces Backlash Over Misinformation","Google's (GOOGL) latest AI-powered search update is under scrutiny after several high-profile examples of it surfacing incorrect or bizarre information.","https://www.wsj.com/articles/google-ai-search-update-backlash","2025-10-28T12:14:00.000000Z","wsj.com","general","1761656115828","1"
"SPY","US Inflation Report Comes in Hotter Than Expected, Markets Dip","The latest CPI report showed a 0.5% month-over-month increase, surprising economists and sending S&P 500 futures (SPY) down 1.2% in premarket trading.","https://www.cnbc.com/2025/10/28/us-inflation-report-cpi-october-2025.html","2025-10-28T12:15:30.000000Z","cnbc.com","general","1761656115828","1"
"NFLX","Netflix Stock Jumps 8% on Strong Subscriber Growth in Asia","Netflix (NFLX) beat earnings expectations, driven by a surge in new subscribers in its Asia-Pacific (APAC) market, easing concerns over domestic market saturation.","https://www.reuters.com/business/media-telecom/netflix-q3-earnings-subscriber-growth-2025-10-28/","2025-10-28T12:16:00.000000Z","reuters.com","general","1761656115828","1"
"BTCUSD","Bitcoin ETF Sees Record Outflows Amid Regulatory Jitters","Spot Bitcoin ETFs (BTCUSD) experienced their largest single-day outflow, as investors grow nervous about upcoming SEC stablecoin regulations.","https://www.coindesk.com/markets/2025/10/28/bitcoin-etf-record-outflows-sec-regulation","2025-10-28T12:17:00.000000Z","coindesk.com","general","1761656115828","1"
"META","Meta's Horizon Worlds Hits 5 Million Active Users, Stock Climbs","Meta (META) announced its flagship metaverse platform, Horizon Worlds, has surpassed 5 million monthly active users, boosting investor confidence in its long-term bet.","https://techcrunch.com/2025/10/28/meta-horizon-worlds-5-million-users","2025-10-28T12:18:00.000000Z","techcrunch.com","general","1761656175828","1"
"TSLA","Tesla Lowers Model 3 Price in Europe to Combat Rising Competition","Tesla (TSLA) cut the price of its Model 3 in Germany and France by 5% as it faces increased pressure from European and Chinese EV manufacturers.","https://www.bloomberg.com/news/articles/2025-10-28/tesla-lowers-model-3-price-europe-competition","2025-10-28T12:19:30.000000Z","bloomberg.com","general","1761656175828","1"
"INTC","Intel Secures $10B Government Contract for New US Chip Fab","Intel (INTC) has been awarded a $10 billion contract under the CHIPS Act to construct a new state-of-the-art semiconductor fabrication plant in Ohio.","https://www.reuters.com/technology/intel-secures-10b-chips-act-contract-ohio-fab-2025-10-28/","2025-10-28T12:20:00.000000Z","reuters.com","general","1761656175828","1"
"ADBE","Adobe Integrates Generative Video into Premiere Pro","Adobe (ADBE) launched a new feature set for Premiere Pro, allowing editors to generate and modify video clips using text prompts, powered by its Firefly AI model.","https://www.theverge.com/2025/10/28/adobe-premiere-pro-generative-video-firefly","2025-10-28T12:21:00.000000Z","theverge.com","general","1761656175828","1"
"AMZN","Amazon Labor Union Files for New Election at Kentucky Warehouse","The Amazon Labor Union (ALU) has filed for a new union election at Amazon's (AMZN) KCVG air hub in Kentucky, opening a new front in its organizing efforts.","https://www.cnbc.com/2025/10/28/amazon-labor-union-files-election-kentucky-kcvg.html","2025-10-28T12:22:00.000000Z","cnbc.com","general","1761656175828","1"
