"symbol","title","description","url","published_at","source","category","time","diff"
"TSLA","Tesla Announces $25,000 Compact EV, 'Model 2', for 2027","Elon Musk confirmed Tesla (TSLA) is on track to produce its $25,000 next-generation vehicle, internally dubbed 'Model 2', with production starting in late 2027.","https://www.cnbc.com/2025/10/28/tesla-model-2-25k-compact-ev-2027.html","2025-10-28T13:53:00.000000Z","cnbc.com","general","1761657315828","1"
"AMZN","Amazon Pharmacy Expands to Canada and UK Markets","Amazon (AMZN) is expanding its online pharmacy service to Canada and the United Kingdom, intensifying competition with local drugstore chains.","https://www.reuters.com/business/retail-consumer/amazon-pharmacy-expands-canada-uk-2025-10-28/","2025-10-28T13:54:00.000000Z","reuters.com","general","1761657315828","1"
"PYPL","PayPal Partners with TikTok for In-App Shopping Checkout","PayPal (PYPL) has inked a deal with TikTok to become a preferred payment processor for its new 'Shop' feature, allowing seamless in-app purchases.","https://www.bloomberg.com/news/articles/2025-10-28/paypal-tiktok-in-app-shopping-checkout-partnership","2025-10-28T13:55:00.000000Z","bloomberg.com","general","1761657315828","1"
"BTCUSD","Grayscale Bitcoin Trust (GBTC) Discount Narrows to 5%","The discount on Grayscale's Bitcoin Trust (GBTC) has narrowed to its lowest point in three years, signaling strong investor optimism about a potential ETF conversion.","https://www.coindesk.com/markets/2025/10/28/gbtc-discount-narrows-to-5-percent-etf-optimism","2025-10-28T13:56:30.000000Z","coindesk.com","general","1761657315828","1"
"SPY","US Services Sector PMI Hits 12-Month High, Beating Forecasts","The ISM Services PMI unexpectedly rose to 55.2 in October, indicating robust growth in the services sector and complicating the Fed's inflation fight.","https://www.wsj.com/articles/us-services-sector-pmi-october-2025-high","2025-10-28T13:57:00.000000Z","wsj.com","general","1761657315828","1"
"META","Threads App Launches Desktop Version and Advanced Search","Meta (META) is rolling out a full-featured desktop web app for its X competitor, Threads, along with advanced search capabilities, in a bid to retain users.","https://techcrunch.com/2025/10/28/meta-threads-desktop-app-advanced-search","2025-10-28T13:58:00.000000Z","techcrunch.com","general","1761657375828","1"
"NFLX","Netflix Developing 'Stranger Things' Cinematic Universe","Netflix (NFLX) executives confirmed they are in active development on multiple spin-off series and a feature film to create a 'Stranger Things' cinematic universe.","https://www.theverge.com/2025/10/28/netflix-stranger-things-cinematic-universe-spinoffs","2025-10-28T13:59:00.000000Z","theverge.com","general","1761657375828","1"
"DIS","Disney (DIS) Stock Jumps as Bob Iger Announces Major Theme Park Expansion","Disney CEO Bob Iger unveiled a $60 billion, 10-year plan to expand its theme parks and cruise line, causing (DIS) stock to jump 5%.","https://www.cnbc.com/2025/10/28/disney-bob-iger-60-billion-theme-park-expansion.html","2025-10-28T14:00:00.000000Z","cnbc.com","general","1761657375828","1"
"GOOGL","Google Faces New $1.7B Fine from EU Over Ad-Tech Practices","Google (GOOGL) has been hit with a €1.7 billion fine by EU antitrust regulators, who found the company abused its dominant position in online advertising technology.","https://www.reuters.com/technology/google-faces-1-7b-eu-fine-ad-tech-practices-2025-10-28/","2025-10-28T14:01:30.000000Z","reuters.com","general","1761657375828","1"
"ETHUSD","Uniswap (UNI) v4 Codebase is Finalized, Audit Begins","Uniswap Labs announced that the code for its v4 protocol is complete and has been sent to several top auditing firms, paving the way for a 2026 launch.","https://www.coindesk.com/tech/2025/10/28/uniswap-v4-codebase-finalized-audit-begins","2025-10-28T14:02:00.000000Z","coindesk.com","general","1761657375828","1"
"MSFT","Microsoft's GitHub Introduces 'Co-pilot for Enterprise'","Microsoft (MSFT) launched GitHub Co-pilot for Enterprise, a new tier that allows companies to train the AI on their own private codebases for $39/user/month.","https://www.theverge.com/2025/10/28/github-copilot-for-enterprise-private-codebase","2025-10-28T14:03:00.000000Z","theverge.com","general","1761657435828","1"
"AAPL","Apple (AAPL) Acquires AI Health Startup for $300M","Apple has quietly acquired 'HealthAI', a startup specializing in predictive health diagnostics using AI, for a reported $300 million.","https://www.bloomberg.com/news/articles/2025-10-28/apple-acquires-ai-health-startup-300m","2025-10-28T14:04:00.000000Z","bloomberg.com","general","1761657435828","1"
