"symbol","title","description","url","published_at","source","category","time","diff"
"SPY","US Inflation Report Comes in Hotter Than Expected, Markets Dip","The latest CPI report showed a 0.5% month-over-month increase, surprising economists and sending S&P 500 futures (SPY) down 1.2% in premarket trading.","https://www.cnbc.com/2025/10/28/us-inflation-report-cpi-october-2025.html","2025-10-28T12:15:30.000000Z","cnbc.com","general","1765032965120","1"
"NFLX","Netflix Stock Jumps 8% on Strong Subscriber Growth in Asia","Netflix (NFLX) beat earnings expectations, driven by a surge in new subscribers in its Asia-Pacific (APAC) market, easing concerns over domestic market saturation.","https://www.reuters.com/business/media-telecom/netflix-q3-earnings-subscriber-growth-2025-10-28/","2025-10-28T12:16:00.000000Z","reuters.com","general","1765032965120","1"
"INTC","Intel Secures $10B Government Contract for New US Chip Fab","Intel (INTC) has been awarded a $10 billion contract under the CHIPS Act to construct a new state-of-the-art semiconductor fabrication plant in Ohio.","https://www.reuters.com/technology/intel-secures-10b-chips-act-contract-ohio-fab-2025-10-28/","2025-10-28T12:20:00.000000Z","reuters.com","general","1765032967118","1"
"CRM","Salesforce Stock Slips as Analyst Downgrades to 'Neutral'","Salesforce (CRM) shares fell 3% after a Morgan Stanley analyst downgraded the stock from 'Buy' to 'Neutral', citing slowing growth in its core cloud products.","https://www.marketwatch.com/story/salesforce-stock-slips-on-morgan-stanley-downgrade-1234567","2025-10-28T12:24:00.000000Z","marketwatch.com","general","1765032973118","1"
"NVDA","NVIDIA Faces New EU Probe Over AI Chip Market Dominance","Regulators in the European Union have opened a formal investigation into NVIDIA (NVDA) over concerns its dominance in the AI chip market stifles competition.","https://www.bloomberg.com/news/articles/2025-10-28/nvidia-faces-new-eu-probe-ai-chip-dominance","2025-10-28T12:23:00.000000Z","bloomberg.com","general","1765032973118","1"
"SPY","US Weekly Jobless Claims Rise Unexpectedly","The number of Americans filing new claims for unemployment benefits rose to 230,000 last week, higher than the 215,000 forecast, signaling a cooling labor market.","https://www.cnbc.com/2025/10/28/us-weekly-jobless-claims-october-25-2025.html","2025-10-28T12:30:30.000000Z","cnbc.com","general","1765032979118","1"
"NFLX","Netflix Signs Exclusive Deal with Major Sports League","Netflix (NFLX) has secured its first major live sports package, signing an exclusive 5-year deal to stream NBA Tuesday night games, sources tell CNBC.","https://www.cnbc.com/2025/10/28/netflix-nba-live-sports-streaming-deal.html","2025-10-28T12:37:00.000000Z","cnbc.com","general","1765032985118","1"
"SPY","Fed Chair Powell Signals Rates Will Stay 'Higher for Longer'","In a speech, Fed Chair Jerome Powell dashed hopes for an imminent rate cut, stating that the committee needs to see more definitive proof of cooling inflation. Markets (SPY) reacted negatively.","https://www.wsj.com/articles/fed-powell-speech-rates-higher-for-longer","2025-10-28T12:39:00.000000Z","wsj.com","general","1765032991118","1"
"INTC","Intel's New 'Lunar Lake' Chips Show Promise in Early Benchmarks","Early, unverified benchmarks for Intel's (INTC) upcoming 'Lunar Lake' mobile processors show significant gains in power efficiency and AI performance over competitors.","https://techcrunch.com/2025/10/28/intel-lunar-lake-benchmarks-leaked","2025-10-28T12:43:00.000000Z","techcrunch.com","general","1765032997118","1"
"NVDA","NVIDIA Partners with Broadcom on Next-Gen AI Infrastructure","NVIDIA (NVDA) and Broadcom (AVGO) announced a strategic partnership to co-develop new networking hardware optimized for massive-scale AI clusters.","https://www.bloomberg.com/news/articles/2025-10-28/nvidia-broadcom-partnership-ai-networking","2025-10-28T12:45:00.000000Z","bloomberg.com","general","1765032997118","1"
"SPY","US Manufacturing PMI Shows Unexpected Contraction","The S&P Global Manufacturing PMI for October fell to 49.5, below the 50.0 threshold, indicating a contraction in the sector and raising recession fears.","https://www.reuters.com/markets/us/us-manufacturing-pmi-contracts-october-2025-10-28/","2025-10-28T12:52:00.000000Z","reuters.com","general","1765033003118","1"
"NFLX","Netflix Raises Prices for Standard and Premium Plans","Netflix (NFLX) is increasing the price of its Standard plan by $2 and its Premium plan by $3 per month in the US, its second price hike in 18 months.","https://www.theverge.com/2025/10/28/netflix-price-hike-standard-premium-plans-2025","2025-10-28T12:56:30.000000Z","theverge.com","general","1765033009118","1"
"INTC","Intel CEO Pat Gelsinger: 'The AI PC Is the Next Big Thing'","In an interview, Intel (INTC) CEO Pat Gelsinger claimed that PCs with built-in neural processing units (NPUs) will represent the most significant PC market shift in decades.","https://www.fortune.com/2025/10/28/intel-ceo-pat-gelsinger-ai-pc-next-big-thing/","2025-10-28T13:01:30.000000Z","fortune.com","general","1765033015122","1"
"NVDA","NVIDIA (NVDA) Earnings Preview: AI Demand in Focus","All eyes are on NVIDIA's (NVDA) Q3 earnings report tomorrow, with Wall Street expecting another record-breaking quarter driven by H100 GPU sales.","https://seekingalpha.com/article/4834010-nvidia-nvda-q3-earnings-preview-ai-demand","2025-10-28T12:58:00.000000Z","seekingalpha.com","general","1765033015122","1"
"SPY","Consumer Confidence Index Tumbles to 9-Month Low","The Conference Board's Consumer Confidence Index fell sharply in October, as persistent inflation and high interest rates weigh on household sentiment.","https://www.reuters.com/markets/us/us-consumer-confidence-tumbles-october-2025-10-28/","2025-10-28T13:02:00.000000Z","reuters.com","general","1765033015122","1"
